endTime,artistName,trackName,msPlayed,track_id
2021-01-16 01:48,Jimmy Eat World,Bleed American,181493,61XspFITuKmAlYdQacNCbF
2021-01-16 01:51,Beastie Boys,Sabotage,178440,0Puj4YlTm6xNzDDADXHMI9
2021-01-16 03:54,Blackbird Sons,Dance with the Devil,95396,10ASBwZsp7oUUDsJEYz3uS
2021-01-16 06:13,Bunbury,El pálido punto azul,3446,6Jw1uwnj1amSt78BJH90C2
2021-01-17 16:33,Bunbury,El pálido punto azul,238996,6Jw1uwnj1amSt78BJH90C2
2021-01-17 16:35,Heroes Del Silencio,Entre dos tierras - Remaster 2018,7276,4rA6G7E7EAbp40noWToeIJ
2021-01-17 16:35,Bunbury,Tabú,13120,471HeGJPKw07MObixON0Um
2021-01-17 16:35,Bunbury,Tabú,106306,471HeGJPKw07MObixON0Um
2021-01-17 16:39,Bunbury,Indeciso o no,220394,1dtfXTDkhlO7MkSAzobLOP
2021-01-17 16:43,Jaguares,Detras De Los Cerros,238360,2ype6DLvWvW3NdSzDi8Dk2
2021-01-17 16:45,Salon Victoria,Corazón Contento,82995,0qdx92wIToNrAAlILjEq0r
2021-01-17 16:45,Daddy Yankee,"Lo Que Pasó, Pasó",42880,26QKsGW4hMuwiEE1ftUMHe
2021-01-17 16:48,Los Pandilleros,Soy Pandillero,148910,5xeZDsYEOaBWAAFexDACba
2021-01-18 07:10,Bunbury,El cielo está dentro de mí (feat. Charlie Musselwhite),2830,2MmsRpnwnIGrFG2MFKS4Ah
2021-01-18 22:01,Moby,We Are All Made of Stars - 2006 Remastered Version,216782,3g2YJT7r5wWihY56VQQRqb
2021-01-18 22:09,Massive Attack,Paradise Circus,487574,7nVhJiv6gDYVFQxNuku9Eq
2021-01-18 22:13,Portishead,All Mine,240640,3U21A07gAloCc4P7J8rxcn
2021-01-18 22:16,Charlotte Gainsbourg,Trick Pony,171875,52jUZLjWkMbvMSCeHCPCQv
2021-01-18 22:18,The xx,Intro,127920,2usrT8QIbIk9y0NEtQwS4j
2021-01-18 22:22,Goldfrapp,Lovely Head,229826,2YxXBLWd39JelHf6LhxZ2o
2021-01-18 22:25,Moby,This Wild Darkness - Edit,200741,5ivnEtHX6OExzDKUWA4AE1
2021-01-18 23:00,Massive Attack,Karmacoma,316440,46bTgJAQkrkNRxMuFnpRyD
2021-01-19 00:21,Kings of Convenience,I'd Rather Dance With You,9678,4hGOhC87bn7JBdYykOJJvJ
2021-01-19 04:41,The Ting Tings,Hang It Up,3760,5WFq6kyeSI1LbwZ1nzMeTA
2021-01-19 05:06,The Ting Tings,Hands,16000,0qey2Z4ZArtL1vekQMWnBm
2021-01-19 14:40,The Ting Tings,Hands,199400,0qey2Z4ZArtL1vekQMWnBm
2021-01-19 14:41,The Ting Tings,Soul Killing,20420,4CXVVMPsSGvhZjbp4s9k0S
2021-01-19 14:45,Moby,Extreme Ways,237634,2OnqLGs0xZvr8ZNzWJELGo
2021-01-19 15:32,Mando Diao,Dance With Somebody,309445,2tUBqZG2AbRi7Q0BIrVrEj
2021-01-19 15:33,Moby,Extreme Ways,4520,2OnqLGs0xZvr8ZNzWJELGo
2021-01-19 15:35,The Vines,Ride,156213,2Z8WuEywRWYTKe1NybPQEW
2021-01-19 15:41,Massive Attack,Girl I Love You,326659,3zkPvQZx6ZflYZtw6PZ82X
2021-01-19 16:52,The Hives,Tick Tick Boom,100146,11NbY6pumU3yzLyo7P5oNQ
2021-01-19 17:00,Moby,Extreme Ways,7701,2OnqLGs0xZvr8ZNzWJELGo
2021-01-19 17:01,I Blame Coco,Caesar,47354,4iJyoBOLtHqaGxP12qzhQI
2021-01-19 17:05,Pearl Jam,Once,231365,3DfiCL0Z9uUr8KohPRvnbo
2021-01-19 17:10,The Flys,Got You (Where I Want You) (as heard in the movie Disturbing Behavior),317231,6jCERbNkDwYl36VE9EG11c
2021-01-19 17:15,Joan Osborne,One Of Us,320466,1xNmF1Uep5OGutizZSbKvd
2021-01-19 17:17,Blur,Song 2 - 2012 Remaster,121160,1FTSo4v6BOZH9QxKc3MbVM
2021-01-19 17:21,The All-American Rejects,Dirty Little Secret,193653,5thgar508w6ApcgKtxyYZZ
2021-01-19 17:26,The Killers,Human,306187,7lOzUJzsELALh5FQsPKTEn
2021-01-19 17:31,Counting Crows,Round Here,331396,35qwJUKVy1OIt0wQ3xEXi0
2021-01-19 17:36,The Goo Goo Dolls,Iris,289906,6Qyc6fS4DsZjB2mRW9DsQs
2021-01-19 17:41,Foo Fighters,The Pretender,269352,7x8dCjCr0x6x2lXKujYD34
2021-01-19 17:56,Pearl Jam,Alive,340907,1L94M3KIu7QluZe63g64rv
2021-01-19 18:10,The Cranberries,Loud And Clear,165026,5r8skcDoiyjfagGCwQLKsQ
2021-01-19 18:15,Placebo,Running Up That Hill,297309,6RHHbAbyIcPpvS1dP3KUGq
2021-01-19 18:19,fun.,We Are Young (feat. Janelle Monáe),250626,5rgy6ghBq1eRApCkeUdJXf
2021-01-19 18:24,Fastball,The Way,257092,0BJFQkGc1v0pzR2ozWDvlf
2021-01-19 18:29,Nirvana,Smells Like Teen Spirit,301907,4CeeEOM32jQcH3eN9Q2dGj
2021-01-19 18:33,The Smashing Pumpkins,The Everlasting Gaze,240733,4EhbLHYOXzEoPmOfaVoIIW
2021-01-19 18:36,Weezer,Hash Pipe,186533,2mPMFJvQ0v27gVqe5b6nDn
2021-01-19 18:39,Dido,Sitting On The Roof Of The World,198560,5pEf3wMYN3vKqufCV2jRw1
2021-01-19 18:43,Beck,Loser,234987,5NTZM8YYeKM2YsGSffVIge
2021-01-19 18:46,Pearl Jam,Why Go,200018,337kipThk7s7nHJ8POg1jK
2021-01-19 19:26,Rancid,Time Bomb,2337,41kg2RvdwBuIv0OPpvBS4v
2021-01-20 00:53,Green Day,Know Your Enemy,190986,1XTGyfJeMiZXrZ1W3NolcB
2021-01-20 00:56,Beastie Boys,Sabotage,178440,0Puj4YlTm6xNzDDADXHMI9
2021-01-20 00:59,Jimmy Eat World,Bleed American,181493,61XspFITuKmAlYdQacNCbF
2021-01-20 01:01,Aerosmith,Sweet Emotion,108430,24NwBd5vZ2CK8VOQVnqdxr
2021-01-20 01:01,Cuca,El Son del Dolor,13132,6Sg8HCDhEX0IL7My2HjS6H
2021-01-20 01:03,Alice In Chains,Them Bones,85434,4A065x9kJt955eGVqf813g
2021-01-20 01:06,Papa Roach,Broken Home,221866,1s4BLQm5rznGLrNZd0GlwM
2021-01-20 01:07,Juan Magán,Muñequita Linda,42416,4TwJYe0avqjh0MiCt7SyeT
2021-01-20 01:08,J Balvin,UN DIA (ONE DAY) (Feat. Tainy),89064,0EhpEsp4L0oRGM0vmeaN5e
2021-01-20 01:13,Eminem,Bitch Please II,288200,7lgvU7WnwcNZ8dbGUz8yhP
2021-01-20 01:16,Alan Walker,I Don't Wanna Go,161666,7kVDkZkZc8qBUBsF6klUoY
2021-01-20 01:22,Eminem,Sing For The Moment,339546,3CpoeW0cZSDzIRv5z34F87
2021-01-20 01:26,Volbeat,Lola Montez,267680,3ear11tYbMEmNDm2lxZTqL
2021-01-20 01:28,Scorpions,Tease Me Please Me,102344,2QpY0RaiEsfiguZZRcMWo0
2021-01-20 01:32,The Offspring,Want You Bad,202573,6hwQ69v7VbPhTTR2fOtYX7
2021-01-20 01:36,Megadeth,Symphony Of Destruction - Live At The Fox Theater/2012,236880,5GE2XyBfoAD9tUggCqCGiQ
2021-01-20 01:39,Twenty One Pilots,Stressed Out,202333,3CRDbSIZ4r5MsZ0YwxuEkn
2021-01-20 01:42,Digital Farm Animals,Millionaire (feat. Nelly) - Alan Walker Remix,189346,2SexyIISEw8wdzDx61YdYb
2021-01-20 01:46,System Of A Down,Forest,240106,0vsSxAoQYrgeXqV6q6ZPuk
2021-01-20 01:47,Megadeth,Sweating Bullets - Live At The Cow Palace/1992,35250,6w5FPKO15NRz6osPvgmxuC
2021-01-20 01:50,Methods of Mayhem,Get Naked,201666,0PGxTaUcMggyJxTyLy0uOx
2021-01-20 01:53,Megadeth,Anarchy In The U.K. - Remastered,181093,74EF3QE9twDF2LRByd2ATx
2021-01-20 01:57,Molotov,Noko,210426,3fuR1DeToAUVnCzT2Sv05B
2021-01-20 02:00,MARUV,Drunk Groove,226714,5oAuqB3aoXBm0nmyEKYxAU
2021-01-20 02:04,Marilyn Manson,Rock Is Dead - Live Album Explicit,200026,3poRDTBnHkZFF1pRwSr49i
2021-01-20 02:06,Two Feet,Go Fuck Yourself,129599,4NZrZgrRoR4GwR7flWOXRI
2021-01-20 02:09,System Of A Down,Chop Suey!,210240,2DlHlPMa4M17kufBvI2lEN
2021-01-20 04:47,Avicii,Hey Brother,26331,4lhqb6JvbHId48OUJGwymk
2021-01-20 19:53,Bunbury,N.O.M.,332135,74MgX7tbR2U684vEMWvB1a
2021-01-20 19:55,Calle 13,Tango del Pecado (feat. Bajofondo Tango Club & Panasuyo),81086,6SEMpMXnOe9nvei4yk7wb7
2021-01-20 19:59,Jaguares,El Milagro - En Vivo,248687,5cC8oSRZY0EG6KHSD5IuUy
2021-01-20 20:02,Caifanes,Ayer Me Dijo un Ave,210885,6gpsPg8kaMbc8rcuHw7t1i
2021-01-20 20:05,Julieta Venegas,De Mis Pasos,198560,2meVfM6TuffeHGh8SuHShQ
2021-01-20 20:09,TELEBIT,Somos Coyotes,222169,0RGuPZmtJxMblQwZIvcNsQ
2021-01-20 20:11,Mon Laferte,Amor Completo,134613,00kIWJu9IHiQ6i0qJAU0Z9
2021-01-20 20:15,Maldita Vecindad Y Los Hijos Del 5to. Patio,Don Palabras,203036,6wulmNhwuptjQkNzWHZ7Ym
2021-01-20 20:20,Bunbury,Salomé,278533,4dtlsMh8wam865qaU4WEnM
2021-01-20 20:23,Calle 13,Baile De Los Pobres,207986,6sKKGGCuMDKiP9HProsMah
2021-01-20 20:27,Jaguares,Solo Somos Suenos,245622,2IfK25brDS3Nq2qpv3tGok
2021-01-20 20:33,Andrés Calamaro,Alta suciedad,265893,4yeSrf6DC5PgrgVcguiOuR
2021-01-20 20:38,Carla Morrison,Todo Pasa,344957,2S3Y5RJ0qKLg47jAhkcisO
2021-01-20 20:42,Andrés Calamaro,El salmón,4466,1mZXYaXINB9I76OPkOXsN0
2021-01-20 20:43,Lila Downs,Justicia,267170,6ipp8Dhs33KinlF4BStgca
2021-01-20 21:32,Molotov,Hit Me - MTV Unplugged,313400,3vKCtmzGnf87XsILKozKVX
2021-01-20 21:36,Nacho Vegas,Va a empezar a llover,246853,4hIGjqKQeCKrRpxw0aOjRc
2021-01-20 21:41,Bunbury,El extranjero,266612,2pLAH3Bsd1OY2ByIJO4uNB
2021-01-20 21:45,Mon Laferte,Mi Buen Amor,227586,28UP90XhjCovLtieduYr9P
2021-01-20 21:49,Julieta Venegas,Te Vi,208981,059bcIhyc2SBwm6sw2AZzd
2021-01-20 21:50,Los Amantes De Lola,Don Juan,32767,43Zi2u6wlkDlQ5bZYlPhL3
2021-01-20 21:53,MexFutura,Balas Negras,178607,71y1tsNVD3A5LnqnCunX3c
2021-01-20 21:57,Caifanes,Viento,236287,6QJCZyJv1fhkCyZA3lRoAD
2021-01-20 21:58,Calle 13,Se Vale To-To,2290,3SXo6PO3z3C0laMLCK9T7h
2021-01-20 21:58,Lost Acapulco,Olvidemos el Romance .. Cojamos Ya!,73100,2xGPn1g68eJfGY4c3qEwlZ
2021-01-20 22:04,Jaguares,Cuando La Sangre Galopa,317733,3b5x8aRqieN1TEZFHOYjLB
2021-01-20 22:08,Miguel Bosé,Si tú no vuelves,278293,1YFBO31kSEYo1DVkjSj8LG
2021-01-20 22:12,Julieta Venegas,Sin Documentos,228671,6mOZfn6CVXsX1Tt0l3thm3
2021-01-20 22:16,Bushido,La felicidad,207820,2Hdf9j4LFuisyOpf9ZjNbC
2021-01-20 22:40,Rey Pila,No. 114,86841,1XFrRzhij5eBNDwWmRj5Zv
2021-01-21 06:24,Artur Mas,"Títulos, Introducción y Prólogo",254330,2UzoMPbaO71NBKNcmR9iAb
2021-01-21 06:24,Artur Mas,Capítulo 1: el Infierno (Cantos 6-10),2207,5C4dRySIub5iJwngqyy8zs
2021-01-21 06:24,Artur Mas,Capítulo 1: el Infierno (Cantos 1-5),3442,0lwpqaEFd2qWNSgraSBdJE
2021-01-21 06:25,Artur Mas,Capítulo 1: el Infierno (Cantos 1-5),66250,0lwpqaEFd2qWNSgraSBdJE
2021-01-21 07:43,Machine Learning en Español,10 Regresion Logistica,1456220,
2021-01-21 15:50,Madonna,Hung Up,337712,3850dYVgOFIXJh5U4BFEWH
2021-01-21 15:56,Madonna,Get Together,315466,1AQQ9DdpEemMVTHNz4eG9a
2021-01-21 16:51,Madonna,Sorry,82140,3brAGNlYMbN30ZlKWjtn1L
2021-01-21 19:45,Platzi Podcast | Humans of Platzi,Dejar la Universidad para construir tu Startup,545625,
2021-01-21 19:46,Platzi Podcast | Humans of Platzi,Abandonar ingeniería para evitar que otros lo hagan: Eduardo Hoppenstedt,60146,
2021-01-21 21:06,Platzi Podcast | Humans of Platzi,Emprender en Latinoamérica: Cristóbal Parrado,2298300,
2021-01-21 23:16,Heroes Del Silencio,El cuadro,159197,4NqE2hU5HW6tTkYGd4qpgu
2021-01-21 23:21,La Ley,Día Cero,271706,0LJgnWjRvbM60ieEVAJcAO
2021-01-21 23:26,Mala Rodríguez,La Nina,306133,1g4cZvi0nLeeIycd0Rkljj
2021-01-21 23:28,Mon Laferte,Amor Completo,129487,00kIWJu9IHiQ6i0qJAU0Z9
2021-01-21 23:29,Danza Invisible,"Sin aliento, 1984",27578,5H8JFqWDX83ftWCYhOhO1E
2021-01-21 23:33,Heroes Del Silencio,La sirena varada,257360,185xDOLU8KPZKqhUICnjRz
2021-01-21 23:38,Draco Rosa,Que Se Joda el Dolor,290668,74tK5aj5224dvTepcVWwjp
