name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sussudio - 2016 Remaster,0.714,0.935,5,-5.195,1,0.0849,0.0529,0.0934,0.0515,0.725,121.232,audio_features,4qM461TqtpnP4GLRIXwEnW,spotify:track:4qM461TqtpnP4GLRIXwEnW,https://api.spotify.com/v1/tracks/4qM461TqtpnP4GLRIXwEnW,https://api.spotify.com/v1/audio-analysis/4qM461TqtpnP4GLRIXwEnW,263107,4
Luna,0.622,0.689,0,-8.611,0,0.0696,0.0123,0,0.203,0.809,159.934,audio_features,2cEgzvQl6IRhDHDrHT1LqQ,spotify:track:2cEgzvQl6IRhDHDrHT1LqQ,https://api.spotify.com/v1/tracks/2cEgzvQl6IRhDHDrHT1LqQ,https://api.spotify.com/v1/audio-analysis/2cEgzvQl6IRhDHDrHT1LqQ,197098,4
Solidarity,0.766,0.618,4,-10.276,0,0.0306,0.294,0.867,0.113,0.773,117.95,audio_features,2ieJ272KbcfpIawpUkr65D,spotify:track:2ieJ272KbcfpIawpUkr65D,https://api.spotify.com/v1/tracks/2ieJ272KbcfpIawpUkr65D,https://api.spotify.com/v1/audio-analysis/2ieJ272KbcfpIawpUkr65D,167669,4
Higher Ground - Remastered,0.476,0.979,4,-3.506,0,0.132,0.0014,0.00729,0.0944,0.416,140.404,audio_features,5arVt2Wg0zbiWwAOZef2Nl,spotify:track:5arVt2Wg0zbiWwAOZef2Nl,https://api.spotify.com/v1/tracks/5arVt2Wg0zbiWwAOZef2Nl,https://api.spotify.com/v1/audio-analysis/5arVt2Wg0zbiWwAOZef2Nl,202053,4
¿En Qué Momento?,0.683,0.804,6,-6.3,1,0.0321,0.257,2.6E-05,0.0777,0.821,124.016,audio_features,1S9pHcW9SG7CCRlGXBk88N,spotify:track:1S9pHcW9SG7CCRlGXBk88N,https://api.spotify.com/v1/tracks/1S9pHcW9SG7CCRlGXBk88N,https://api.spotify.com/v1/audio-analysis/1S9pHcW9SG7CCRlGXBk88N,225720,4
Nothing's Gonna Stop Us Now,0.643,0.802,6,-4.92,1,0.0227,0.0299,0,0.0719,0.53,95.99,audio_features,3X7uFMzJrEE0sxn62qd8Ch,spotify:track:3X7uFMzJrEE0sxn62qd8Ch,https://api.spotify.com/v1/tracks/3X7uFMzJrEE0sxn62qd8Ch,https://api.spotify.com/v1/audio-analysis/3X7uFMzJrEE0sxn62qd8Ch,270333,4
Paradise Circus,0.82,0.578,8,-13.347,1,0.0731,0.416,0.695,0.0713,0.35,136.029,audio_features,7nVhJiv6gDYVFQxNuku9Eq,spotify:track:7nVhJiv6gDYVFQxNuku9Eq,https://api.spotify.com/v1/tracks/7nVhJiv6gDYVFQxNuku9Eq,https://api.spotify.com/v1/audio-analysis/7nVhJiv6gDYVFQxNuku9Eq,297760,4
Balas Negras,0.584,0.425,5,-9.504,0,0.0261,0.0996,0.803,0.115,0.406,136.976,audio_features,71y1tsNVD3A5LnqnCunX3c,spotify:track:71y1tsNVD3A5LnqnCunX3c,https://api.spotify.com/v1/tracks/71y1tsNVD3A5LnqnCunX3c,https://api.spotify.com/v1/audio-analysis/71y1tsNVD3A5LnqnCunX3c,325660,3
No Name,0.718,0.795,0,-3.978,0,0.142,0.223,0,0.12,0.292,130.77,audio_features,7hdw5gAGMyyn9z0XgfTv1j,spotify:track:7hdw5gAGMyyn9z0XgfTv1j,https://api.spotify.com/v1/tracks/7hdw5gAGMyyn9z0XgfTv1j,https://api.spotify.com/v1/audio-analysis/7hdw5gAGMyyn9z0XgfTv1j,183827,4
La Balada,0.672,0.5,8,-9.866,1,0.0322,0.277,0,0.0954,0.201,95.758,audio_features,1uGfA3nwqg6bd7IzE7K0Rp,spotify:track:1uGfA3nwqg6bd7IzE7K0Rp,https://api.spotify.com/v1/tracks/1uGfA3nwqg6bd7IzE7K0Rp,https://api.spotify.com/v1/audio-analysis/1uGfA3nwqg6bd7IzE7K0Rp,292787,4
